transaction_id,donor,donor_type,recipient,contribution_date,contribution_amount,contribution_year,contribution_type,date_reported,report_filed,in_kind_description,out_of_state_pac,correction,view_report
SYNTHETIC-0001,EXAMPLE ORGANIZATION 0001,SYNTHETIC DONOR_TYPE 0001,EXAMPLE ORGANIZATION 0001,2000-01-01T00:00:00.000,1.00,SYNTHETIC CONTRIBUTION_YEAR 0001,SYNTHETIC CONTRIBUTION_TYPE 0001,SYNTHETIC DATE_REPORTED 0001,SYNTHETIC REPORT_FILED 0001,,,,https://example.invalid/source-record/1
SYNTHETIC-0002,EXAMPLE ORGANIZATION 0002,SYNTHETIC DONOR_TYPE 0002,EXAMPLE ORGANIZATION 0002,2000-01-02T00:00:00.000,2.00,SYNTHETIC CONTRIBUTION_YEAR 0002,SYNTHETIC CONTRIBUTION_TYPE 0002,SYNTHETIC DATE_REPORTED 0002,SYNTHETIC REPORT_FILED 0002,,,,https://example.invalid/source-record/2
SYNTHETIC-0003,EXAMPLE ORGANIZATION 0003,SYNTHETIC DONOR_TYPE 0003,EXAMPLE ORGANIZATION 0003,2000-01-03T00:00:00.000,3.00,SYNTHETIC CONTRIBUTION_YEAR 0003,SYNTHETIC CONTRIBUTION_TYPE 0003,SYNTHETIC DATE_REPORTED 0003,SYNTHETIC REPORT_FILED 0003,,,,https://example.invalid/source-record/3
SYNTHETIC-0004,EXAMPLE ORGANIZATION 0004,SYNTHETIC DONOR_TYPE 0004,EXAMPLE ORGANIZATION 0004,2000-01-04T00:00:00.000,4.00,SYNTHETIC CONTRIBUTION_YEAR 0004,SYNTHETIC CONTRIBUTION_TYPE 0004,SYNTHETIC DATE_REPORTED 0004,SYNTHETIC REPORT_FILED 0004,,,,https://example.invalid/source-record/4
SYNTHETIC-0005,EXAMPLE ORGANIZATION 0005,SYNTHETIC DONOR_TYPE 0005,EXAMPLE ORGANIZATION 0005,2000-01-05T00:00:00.000,5.00,SYNTHETIC CONTRIBUTION_YEAR 0005,SYNTHETIC CONTRIBUTION_TYPE 0005,SYNTHETIC DATE_REPORTED 0005,SYNTHETIC REPORT_FILED 0005,,,SYNTHETIC CORRECTION 0005,https://example.invalid/source-record/5
SYNTHETIC-0006,EXAMPLE ORGANIZATION 0006,SYNTHETIC DONOR_TYPE 0006,EXAMPLE ORGANIZATION 0006,2000-01-06T00:00:00.000,6.00,SYNTHETIC CONTRIBUTION_YEAR 0006,SYNTHETIC CONTRIBUTION_TYPE 0006,SYNTHETIC DATE_REPORTED 0006,SYNTHETIC REPORT_FILED 0006,,,,https://example.invalid/source-record/6
SYNTHETIC-0007,EXAMPLE ORGANIZATION 0007,SYNTHETIC DONOR_TYPE 0007,EXAMPLE ORGANIZATION 0007,2000-01-07T00:00:00.000,7.00,SYNTHETIC CONTRIBUTION_YEAR 0007,SYNTHETIC CONTRIBUTION_TYPE 0007,SYNTHETIC DATE_REPORTED 0007,SYNTHETIC REPORT_FILED 0007,,,,https://example.invalid/source-record/7
SYNTHETIC-0008,EXAMPLE ORGANIZATION 0008,SYNTHETIC DONOR_TYPE 0008,EXAMPLE ORGANIZATION 0008,2000-01-08T00:00:00.000,8.00,SYNTHETIC CONTRIBUTION_YEAR 0008,SYNTHETIC CONTRIBUTION_TYPE 0008,SYNTHETIC DATE_REPORTED 0008,SYNTHETIC REPORT_FILED 0008,,,,https://example.invalid/source-record/8
SYNTHETIC-0009,EXAMPLE ORGANIZATION 0009,SYNTHETIC DONOR_TYPE 0009,EXAMPLE ORGANIZATION 0009,2000-01-09T00:00:00.000,9.00,SYNTHETIC CONTRIBUTION_YEAR 0009,SYNTHETIC CONTRIBUTION_TYPE 0009,SYNTHETIC DATE_REPORTED 0009,SYNTHETIC REPORT_FILED 0009,,,,https://example.invalid/source-record/9
SYNTHETIC-0010,EXAMPLE ORGANIZATION 0010,SYNTHETIC DONOR_TYPE 0010,EXAMPLE ORGANIZATION 0010,2000-01-10T00:00:00.000,10.00,SYNTHETIC CONTRIBUTION_YEAR 0010,SYNTHETIC CONTRIBUTION_TYPE 0010,SYNTHETIC DATE_REPORTED 0010,SYNTHETIC REPORT_FILED 0010,,,SYNTHETIC CORRECTION 0010,https://example.invalid/source-record/10
SYNTHETIC-0011,EXAMPLE ORGANIZATION 0011,SYNTHETIC DONOR_TYPE 0011,EXAMPLE ORGANIZATION 0011,2000-01-11T00:00:00.000,11.00,SYNTHETIC CONTRIBUTION_YEAR 0011,SYNTHETIC CONTRIBUTION_TYPE 0011,SYNTHETIC DATE_REPORTED 0011,SYNTHETIC REPORT_FILED 0011,,,,https://example.invalid/source-record/11
SYNTHETIC-0012,EXAMPLE ORGANIZATION 0012,SYNTHETIC DONOR_TYPE 0012,EXAMPLE ORGANIZATION 0012,2000-01-12T00:00:00.000,12.00,SYNTHETIC CONTRIBUTION_YEAR 0012,SYNTHETIC CONTRIBUTION_TYPE 0012,SYNTHETIC DATE_REPORTED 0012,SYNTHETIC REPORT_FILED 0012,,,,https://example.invalid/source-record/12
SYNTHETIC-0013,EXAMPLE ORGANIZATION 0013,SYNTHETIC DONOR_TYPE 0013,EXAMPLE ORGANIZATION 0013,2000-01-13T00:00:00.000,13.00,SYNTHETIC CONTRIBUTION_YEAR 0013,SYNTHETIC CONTRIBUTION_TYPE 0013,SYNTHETIC DATE_REPORTED 0013,SYNTHETIC REPORT_FILED 0013,,,,https://example.invalid/source-record/13
SYNTHETIC-0014,EXAMPLE ORGANIZATION 0014,SYNTHETIC DONOR_TYPE 0014,EXAMPLE ORGANIZATION 0014,2000-01-14T00:00:00.000,14.00,SYNTHETIC CONTRIBUTION_YEAR 0014,SYNTHETIC CONTRIBUTION_TYPE 0014,SYNTHETIC DATE_REPORTED 0014,SYNTHETIC REPORT_FILED 0014,,,SYNTHETIC CORRECTION 0014,https://example.invalid/source-record/14
SYNTHETIC-0015,EXAMPLE ORGANIZATION 0015,SYNTHETIC DONOR_TYPE 0015,EXAMPLE ORGANIZATION 0015,2000-01-15T00:00:00.000,15.00,SYNTHETIC CONTRIBUTION_YEAR 0015,SYNTHETIC CONTRIBUTION_TYPE 0015,SYNTHETIC DATE_REPORTED 0015,SYNTHETIC REPORT_FILED 0015,,,,https://example.invalid/source-record/15
SYNTHETIC-0016,EXAMPLE ORGANIZATION 0016,SYNTHETIC DONOR_TYPE 0016,EXAMPLE ORGANIZATION 0016,2000-01-16T00:00:00.000,16.00,SYNTHETIC CONTRIBUTION_YEAR 0016,SYNTHETIC CONTRIBUTION_TYPE 0016,SYNTHETIC DATE_REPORTED 0016,SYNTHETIC REPORT_FILED 0016,,,,https://example.invalid/source-record/16
SYNTHETIC-0017,EXAMPLE ORGANIZATION 0017,SYNTHETIC DONOR_TYPE 0017,EXAMPLE ORGANIZATION 0017,2000-01-17T00:00:00.000,17.00,SYNTHETIC CONTRIBUTION_YEAR 0017,SYNTHETIC CONTRIBUTION_TYPE 0017,SYNTHETIC DATE_REPORTED 0017,SYNTHETIC REPORT_FILED 0017,,,,https://example.invalid/source-record/17
SYNTHETIC-0018,EXAMPLE ORGANIZATION 0018,SYNTHETIC DONOR_TYPE 0018,EXAMPLE ORGANIZATION 0018,2000-01-18T00:00:00.000,18.00,SYNTHETIC CONTRIBUTION_YEAR 0018,SYNTHETIC CONTRIBUTION_TYPE 0018,SYNTHETIC DATE_REPORTED 0018,SYNTHETIC REPORT_FILED 0018,,,,https://example.invalid/source-record/18
SYNTHETIC-0019,EXAMPLE ORGANIZATION 0019,SYNTHETIC DONOR_TYPE 0019,EXAMPLE ORGANIZATION 0019,2000-01-19T00:00:00.000,19.00,SYNTHETIC CONTRIBUTION_YEAR 0019,SYNTHETIC CONTRIBUTION_TYPE 0019,SYNTHETIC DATE_REPORTED 0019,SYNTHETIC REPORT_FILED 0019,,,,https://example.invalid/source-record/19
SYNTHETIC-0020,EXAMPLE ORGANIZATION 0020,SYNTHETIC DONOR_TYPE 0020,EXAMPLE ORGANIZATION 0020,2000-01-20T00:00:00.000,20.00,SYNTHETIC CONTRIBUTION_YEAR 0020,SYNTHETIC CONTRIBUTION_TYPE 0020,SYNTHETIC DATE_REPORTED 0020,SYNTHETIC REPORT_FILED 0020,,,,https://example.invalid/source-record/20
