report_id,filer_name,form_type,report_type,report_type2,link_to_report,date_filed,date_due,period_from,period_to,election_date,election_type,office_held,office_sought,unitemized_contrib_total,contrib_total,unitemized_expend_total,expend_total,contrib_balance,outstand_loan,unitemized_inkind_total,unitemized_pledge_total,unitemized_loan_total,unitemized_unpaid_total,unitemized_cred_card_total
SYNTHETIC-0001,EXAMPLE ORGANIZATION 0001,SYNTHETIC FORM_TYPE 0001,SYNTHETIC REPORT_TYPE 0001,,https://example.invalid/source-record/1,2000-01-01T00:00:00.000,2000-01-01T00:00:00.000,2000-01-01T00:00:00.000,2000-01-01T00:00:00.000,2000-01-01T00:00:00.000,SYNTHETIC ELECTION_TYPE 0001,SYNTHETIC OFFICE_HELD 0001,SYNTHETIC OFFICE_SOUGHT 0001,,1.00,,1.00,1.00,1.00,,,,,
SYNTHETIC-0002,EXAMPLE ORGANIZATION 0002,SYNTHETIC FORM_TYPE 0002,,,https://example.invalid/source-record/2,2000-01-02T00:00:00.000,2000-01-02T00:00:00.000,2000-01-02T00:00:00.000,2000-01-02T00:00:00.000,,,,,2.00,2.00,2.00,2.00,2.00,2.00,,2.00,,2.00,2.00
SYNTHETIC-0003,EXAMPLE ORGANIZATION 0003,SYNTHETIC FORM_TYPE 0003,,,https://example.invalid/source-record/3,2000-01-03T00:00:00.000,2000-01-03T00:00:00.000,2000-01-03T00:00:00.000,2000-01-03T00:00:00.000,,,,,3.00,3.00,3.00,3.00,3.00,3.00,,3.00,3.00,3.00,3.00
SYNTHETIC-0004,EXAMPLE ORGANIZATION 0004,SYNTHETIC FORM_TYPE 0004,SYNTHETIC REPORT_TYPE 0004,,https://example.invalid/source-record/4,2000-01-04T00:00:00.000,2000-01-04T00:00:00.000,2000-01-04T00:00:00.000,2000-01-04T00:00:00.000,2000-01-04T00:00:00.000,SYNTHETIC ELECTION_TYPE 0004,,SYNTHETIC OFFICE_SOUGHT 0004,4.00,4.00,,4.00,4.00,4.00,,,,,
SYNTHETIC-0005,EXAMPLE ORGANIZATION 0005,SYNTHETIC FORM_TYPE 0005,SYNTHETIC REPORT_TYPE 0005,,https://example.invalid/source-record/5,2000-01-05T00:00:00.000,2000-01-05T00:00:00.000,2000-01-05T00:00:00.000,2000-01-05T00:00:00.000,,,SYNTHETIC OFFICE_HELD 0005,,,,,,5.00,5.00,,,,,
SYNTHETIC-0006,EXAMPLE ORGANIZATION 0006,SYNTHETIC FORM_TYPE 0006,SYNTHETIC REPORT_TYPE 0006,,https://example.invalid/source-record/6,2000-01-06T00:00:00.000,2000-01-06T00:00:00.000,2000-01-06T00:00:00.000,2000-01-06T00:00:00.000,2000-01-06T00:00:00.000,SYNTHETIC ELECTION_TYPE 0006,,,,6.00,,6.00,6.00,6.00,,,,,
SYNTHETIC-0007,EXAMPLE ORGANIZATION 0007,SYNTHETIC FORM_TYPE 0007,,,https://example.invalid/source-record/7,2000-01-07T00:00:00.000,2000-01-07T00:00:00.000,2000-01-07T00:00:00.000,2000-01-07T00:00:00.000,,,,,,7.00,,7.00,7.00,7.00,,,,,
SYNTHETIC-0008,EXAMPLE ORGANIZATION 0008,SYNTHETIC FORM_TYPE 0008,SYNTHETIC REPORT_TYPE 0008,,https://example.invalid/source-record/8,2000-01-08T00:00:00.000,2000-01-08T00:00:00.000,2000-01-08T00:00:00.000,2000-01-08T00:00:00.000,,,,,8.00,8.00,8.00,8.00,8.00,8.00,,8.00,8.00,8.00,8.00
SYNTHETIC-0009,EXAMPLE ORGANIZATION 0009,SYNTHETIC FORM_TYPE 0009,SYNTHETIC REPORT_TYPE 0009,,https://example.invalid/source-record/9,2000-01-09T00:00:00.000,2000-01-09T00:00:00.000,2000-01-09T00:00:00.000,2000-01-09T00:00:00.000,2000-01-09T00:00:00.000,SYNTHETIC ELECTION_TYPE 0009,SYNTHETIC OFFICE_HELD 0009,SYNTHETIC OFFICE_SOUGHT 0009,9.00,9.00,9.00,9.00,9.00,9.00,,9.00,9.00,9.00,9.00
SYNTHETIC-0010,EXAMPLE ORGANIZATION 0010,SYNTHETIC FORM_TYPE 0010,SYNTHETIC REPORT_TYPE 0010,,https://example.invalid/source-record/10,2000-01-10T00:00:00.000,2000-01-10T00:00:00.000,2000-01-10T00:00:00.000,2000-01-10T00:00:00.000,,,,,,,,,10.00,10.00,,,,,
SYNTHETIC-0011,EXAMPLE ORGANIZATION 0011,SYNTHETIC FORM_TYPE 0011,SYNTHETIC REPORT_TYPE 0011,,https://example.invalid/source-record/11,2000-01-11T00:00:00.000,2000-01-11T00:00:00.000,2000-01-11T00:00:00.000,2000-01-11T00:00:00.000,2000-01-11T00:00:00.000,SYNTHETIC ELECTION_TYPE 0011,SYNTHETIC OFFICE_HELD 0011,SYNTHETIC OFFICE_SOUGHT 0011,,11.00,,11.00,11.00,11.00,,,,,
SYNTHETIC-0012,EXAMPLE ORGANIZATION 0012,SYNTHETIC FORM_TYPE 0012,,,https://example.invalid/source-record/12,2000-01-12T00:00:00.000,2000-01-12T00:00:00.000,2000-01-12T00:00:00.000,2000-01-12T00:00:00.000,,,,,12.00,12.00,12.00,12.00,12.00,12.00,,12.00,12.00,12.00,12.00
