transaction_id,report_id,filer_name,transactor_name,entity,transaction_type,transaction_amount,date_filed,form,transaction,date_due,report_type,election_date,election_type,office_held,office_sought,link_to_report,cor_flag,schedule_reported,transaction_date,transaction_description,expense_description,lender_institution,interest_rate,maturity_date,collateral,personal_funds_deposited,amount_guaranteed,outside_travel,political_obligation,reimbursement_intended,returned_to_filer,out_of_state_pac,out_of_state_pac_id
SYNTHETIC-0001,SYNTHETIC-0001,EXAMPLE ORGANIZATION 0001,EXAMPLE ORGANIZATION 0001,SYNTHETIC ENTITY 0001,SYNTHETIC TRANSACTION_TYPE 0001,1.00,2000-01-01T00:00:00.000,SYNTHETIC FORM 0001,SYNTHETIC TRANSACTION 0001,,SYNTHETIC REPORT_TYPE 0001,,,,,https://example.invalid/source-record/1,,SYNTHETIC SCHEDULE_REPORTED 0001,2000-01-01T00:00:00.000,,,,SYNTHETIC INTEREST_RATE 0001,,SYNTHETIC COLLATERAL 0001,,,,,,,,
SYNTHETIC-0002,SYNTHETIC-0002,EXAMPLE ORGANIZATION 0002,EXAMPLE ORGANIZATION 0002,SYNTHETIC ENTITY 0002,SYNTHETIC TRANSACTION_TYPE 0002,2.00,2000-01-02T00:00:00.000,SYNTHETIC FORM 0002,SYNTHETIC TRANSACTION 0002,,SYNTHETIC REPORT_TYPE 0002,,,,,https://example.invalid/source-record/2,,SYNTHETIC SCHEDULE_REPORTED 0002,2000-01-02T00:00:00.000,,,,SYNTHETIC INTEREST_RATE 0002,,SYNTHETIC COLLATERAL 0002,,,,,,,,
SYNTHETIC-0003,SYNTHETIC-0003,EXAMPLE ORGANIZATION 0003,EXAMPLE ORGANIZATION 0003,SYNTHETIC ENTITY 0003,SYNTHETIC TRANSACTION_TYPE 0003,3.00,2000-01-03T00:00:00.000,SYNTHETIC FORM 0003,SYNTHETIC TRANSACTION 0003,,SYNTHETIC REPORT_TYPE 0003,,,,,https://example.invalid/source-record/3,,SYNTHETIC SCHEDULE_REPORTED 0003,2000-01-03T00:00:00.000,,SYNTHETIC EXPENSE_DESCRIPTION 0003,,SYNTHETIC INTEREST_RATE 0003,,SYNTHETIC COLLATERAL 0003,,,,,SYNTHETIC REIMBURSEMENT_INTENDED 0003,,,
SYNTHETIC-0004,SYNTHETIC-0004,EXAMPLE ORGANIZATION 0004,EXAMPLE ORGANIZATION 0004,SYNTHETIC ENTITY 0004,SYNTHETIC TRANSACTION_TYPE 0004,4.00,2000-01-04T00:00:00.000,SYNTHETIC FORM 0004,SYNTHETIC TRANSACTION 0004,,SYNTHETIC REPORT_TYPE 0004,,,,,https://example.invalid/source-record/4,,SYNTHETIC SCHEDULE_REPORTED 0004,2000-01-04T00:00:00.000,,SYNTHETIC EXPENSE_DESCRIPTION 0004,,SYNTHETIC INTEREST_RATE 0004,,SYNTHETIC COLLATERAL 0004,,,,,SYNTHETIC REIMBURSEMENT_INTENDED 0004,,,
SYNTHETIC-0005,SYNTHETIC-0005,EXAMPLE ORGANIZATION 0005,EXAMPLE ORGANIZATION 0005,SYNTHETIC ENTITY 0005,SYNTHETIC TRANSACTION_TYPE 0005,5.00,2000-01-05T00:00:00.000,SYNTHETIC FORM 0005,SYNTHETIC TRANSACTION 0005,,SYNTHETIC REPORT_TYPE 0005,,,,,https://example.invalid/source-record/5,,SYNTHETIC SCHEDULE_REPORTED 0005,2000-01-05T00:00:00.000,,SYNTHETIC EXPENSE_DESCRIPTION 0005,,SYNTHETIC INTEREST_RATE 0005,,SYNTHETIC COLLATERAL 0005,,,,,SYNTHETIC REIMBURSEMENT_INTENDED 0005,,,
SYNTHETIC-0006,SYNTHETIC-0006,EXAMPLE ORGANIZATION 0006,EXAMPLE ORGANIZATION 0006,SYNTHETIC ENTITY 0006,SYNTHETIC TRANSACTION_TYPE 0006,6.00,2000-01-06T00:00:00.000,SYNTHETIC FORM 0006,SYNTHETIC TRANSACTION 0006,,SYNTHETIC REPORT_TYPE 0006,,,,,https://example.invalid/source-record/6,,SYNTHETIC SCHEDULE_REPORTED 0006,2000-01-06T00:00:00.000,,SYNTHETIC EXPENSE_DESCRIPTION 0006,,SYNTHETIC INTEREST_RATE 0006,,SYNTHETIC COLLATERAL 0006,,,,,SYNTHETIC REIMBURSEMENT_INTENDED 0006,,,
SYNTHETIC-0007,SYNTHETIC-0007,EXAMPLE ORGANIZATION 0007,EXAMPLE ORGANIZATION 0007,SYNTHETIC ENTITY 0007,SYNTHETIC TRANSACTION_TYPE 0007,7.00,2000-01-07T00:00:00.000,SYNTHETIC FORM 0007,SYNTHETIC TRANSACTION 0007,,SYNTHETIC REPORT_TYPE 0007,,,,,https://example.invalid/source-record/7,,SYNTHETIC SCHEDULE_REPORTED 0007,2000-01-07T00:00:00.000,,,,SYNTHETIC INTEREST_RATE 0007,,SYNTHETIC COLLATERAL 0007,,,,,,,,
SYNTHETIC-0008,SYNTHETIC-0008,EXAMPLE ORGANIZATION 0008,EXAMPLE ORGANIZATION 0008,SYNTHETIC ENTITY 0008,SYNTHETIC TRANSACTION_TYPE 0008,8.00,2000-01-08T00:00:00.000,SYNTHETIC FORM 0008,SYNTHETIC TRANSACTION 0008,,SYNTHETIC REPORT_TYPE 0008,,,,,https://example.invalid/source-record/8,,SYNTHETIC SCHEDULE_REPORTED 0008,2000-01-08T00:00:00.000,,SYNTHETIC EXPENSE_DESCRIPTION 0008,,SYNTHETIC INTEREST_RATE 0008,,SYNTHETIC COLLATERAL 0008,,,,,SYNTHETIC REIMBURSEMENT_INTENDED 0008,,,
SYNTHETIC-0009,SYNTHETIC-0009,EXAMPLE ORGANIZATION 0009,EXAMPLE ORGANIZATION 0009,SYNTHETIC ENTITY 0009,SYNTHETIC TRANSACTION_TYPE 0009,9.00,2000-01-09T00:00:00.000,SYNTHETIC FORM 0009,SYNTHETIC TRANSACTION 0009,,SYNTHETIC REPORT_TYPE 0009,,,,,https://example.invalid/source-record/9,,SYNTHETIC SCHEDULE_REPORTED 0009,2000-01-09T00:00:00.000,,SYNTHETIC EXPENSE_DESCRIPTION 0009,,SYNTHETIC INTEREST_RATE 0009,,SYNTHETIC COLLATERAL 0009,,,,,SYNTHETIC REIMBURSEMENT_INTENDED 0009,,,
SYNTHETIC-0010,SYNTHETIC-0010,EXAMPLE ORGANIZATION 0010,EXAMPLE ORGANIZATION 0010,SYNTHETIC ENTITY 0010,SYNTHETIC TRANSACTION_TYPE 0010,10.00,2000-01-10T00:00:00.000,SYNTHETIC FORM 0010,SYNTHETIC TRANSACTION 0010,,SYNTHETIC REPORT_TYPE 0010,,,,,https://example.invalid/source-record/10,,SYNTHETIC SCHEDULE_REPORTED 0010,2000-01-10T00:00:00.000,,SYNTHETIC EXPENSE_DESCRIPTION 0010,,SYNTHETIC INTEREST_RATE 0010,,SYNTHETIC COLLATERAL 0010,,,,,SYNTHETIC REIMBURSEMENT_INTENDED 0010,,,
SYNTHETIC-0011,SYNTHETIC-0011,EXAMPLE ORGANIZATION 0011,EXAMPLE ORGANIZATION 0011,SYNTHETIC ENTITY 0011,SYNTHETIC TRANSACTION_TYPE 0011,11.00,2000-01-11T00:00:00.000,SYNTHETIC FORM 0011,SYNTHETIC TRANSACTION 0011,,SYNTHETIC REPORT_TYPE 0011,,,,,https://example.invalid/source-record/11,,SYNTHETIC SCHEDULE_REPORTED 0011,2000-01-11T00:00:00.000,,SYNTHETIC EXPENSE_DESCRIPTION 0011,,SYNTHETIC INTEREST_RATE 0011,,SYNTHETIC COLLATERAL 0011,,,,,SYNTHETIC REIMBURSEMENT_INTENDED 0011,,,
SYNTHETIC-0012,SYNTHETIC-0012,EXAMPLE ORGANIZATION 0012,EXAMPLE ORGANIZATION 0012,SYNTHETIC ENTITY 0012,SYNTHETIC TRANSACTION_TYPE 0012,12.00,2000-01-12T00:00:00.000,SYNTHETIC FORM 0012,SYNTHETIC TRANSACTION 0012,,SYNTHETIC REPORT_TYPE 0012,,,,,https://example.invalid/source-record/12,,SYNTHETIC SCHEDULE_REPORTED 0012,2000-01-12T00:00:00.000,,SYNTHETIC EXPENSE_DESCRIPTION 0012,,SYNTHETIC INTEREST_RATE 0012,,SYNTHETIC COLLATERAL 0012,,,,,SYNTHETIC REIMBURSEMENT_INTENDED 0012,,,
SYNTHETIC-0013,SYNTHETIC-0013,EXAMPLE ORGANIZATION 0013,EXAMPLE ORGANIZATION 0013,SYNTHETIC ENTITY 0013,SYNTHETIC TRANSACTION_TYPE 0013,13.00,2000-01-13T00:00:00.000,SYNTHETIC FORM 0013,SYNTHETIC TRANSACTION 0013,2000-01-13T00:00:00.000,SYNTHETIC REPORT_TYPE 0013,,SYNTHETIC ELECTION_TYPE 0013,,,https://example.invalid/source-record/13,,SYNTHETIC SCHEDULE_REPORTED 0013,2000-01-13T00:00:00.000,,,,SYNTHETIC INTEREST_RATE 0013,,SYNTHETIC COLLATERAL 0013,,,,,,,,
SYNTHETIC-0014,SYNTHETIC-0014,EXAMPLE ORGANIZATION 0014,EXAMPLE ORGANIZATION 0014,SYNTHETIC ENTITY 0014,SYNTHETIC TRANSACTION_TYPE 0014,14.00,2000-01-14T00:00:00.000,SYNTHETIC FORM 0014,SYNTHETIC TRANSACTION 0014,2000-01-14T00:00:00.000,SYNTHETIC REPORT_TYPE 0014,,SYNTHETIC ELECTION_TYPE 0014,,,https://example.invalid/source-record/14,,SYNTHETIC SCHEDULE_REPORTED 0014,2000-01-14T00:00:00.000,,,,SYNTHETIC INTEREST_RATE 0014,,SYNTHETIC COLLATERAL 0014,,,,,,,,
SYNTHETIC-0015,SYNTHETIC-0015,EXAMPLE ORGANIZATION 0015,EXAMPLE ORGANIZATION 0015,SYNTHETIC ENTITY 0015,SYNTHETIC TRANSACTION_TYPE 0015,15.00,2000-01-15T00:00:00.000,SYNTHETIC FORM 0015,SYNTHETIC TRANSACTION 0015,2000-01-15T00:00:00.000,SYNTHETIC REPORT_TYPE 0015,,SYNTHETIC ELECTION_TYPE 0015,,,https://example.invalid/source-record/15,,SYNTHETIC SCHEDULE_REPORTED 0015,2000-01-15T00:00:00.000,,,,SYNTHETIC INTEREST_RATE 0015,,SYNTHETIC COLLATERAL 0015,,,,,,,,
SYNTHETIC-0016,SYNTHETIC-0016,EXAMPLE ORGANIZATION 0016,EXAMPLE ORGANIZATION 0016,SYNTHETIC ENTITY 0016,SYNTHETIC TRANSACTION_TYPE 0016,16.00,2000-01-16T00:00:00.000,SYNTHETIC FORM 0016,SYNTHETIC TRANSACTION 0016,2000-01-16T00:00:00.000,SYNTHETIC REPORT_TYPE 0016,,SYNTHETIC ELECTION_TYPE 0016,,,https://example.invalid/source-record/16,,SYNTHETIC SCHEDULE_REPORTED 0016,2000-01-16T00:00:00.000,,,,SYNTHETIC INTEREST_RATE 0016,,SYNTHETIC COLLATERAL 0016,,,,,,,,
