doc_cd,doc_dept_cd,doc_id,doc_vers_no,doc_dscr,contract_synopsis,ma_prch_lmt_am,ma_itd_ord_am,ma_do_rfed_am,efbgn_dt,efend_dt,gnrc_po_rpt_1,rpt_dscr,brd_awd_dt,brd_awd_no,cat_dscr,doc_vend_ln_no,vend_cust_cd,lgl_nm,alias_nm,so_doc_cd,so_doc_dept_cd,so_doc_id,today,row_key
SYNTHETIC DOC_CD 0001,SYNTHETIC DOC_DEPT_CD 0001,SYNTHETIC-0001,SYNTHETIC DOC_VERS_NO 0001,SYNTHETIC DOC_DSCR 0001,,1.00,1.00,1.00,2000-01-01T00:00:00.000,,SYNTHETIC GNRC_PO_RPT_1 0001,SYNTHETIC RPT_DSCR 0001,2000-01-01T00:00:00.000,SYNTHETIC BRD_AWD_NO 0001,SYNTHETIC CAT_DSCR 0001,SYNTHETIC DOC_VEND_LN_NO 0001,EXAMPLE ORGANIZATION 0001,EXAMPLE ORGANIZATION 0001,EXAMPLE ORGANIZATION 0001,SYNTHETIC SO_DOC_CD 0001,SYNTHETIC SO_DOC_DEPT_CD 0001,SYNTHETIC-0001,2000-01-01T00:00:00.000,SYNTHETIC ROW_KEY 0001
SYNTHETIC DOC_CD 0002,SYNTHETIC DOC_DEPT_CD 0002,SYNTHETIC-0002,SYNTHETIC DOC_VERS_NO 0002,SYNTHETIC DOC_DSCR 0002,,2.00,2.00,2.00,2000-01-02T00:00:00.000,,SYNTHETIC GNRC_PO_RPT_1 0002,SYNTHETIC RPT_DSCR 0002,,SYNTHETIC BRD_AWD_NO 0002,SYNTHETIC CAT_DSCR 0002,SYNTHETIC DOC_VEND_LN_NO 0002,EXAMPLE ORGANIZATION 0002,EXAMPLE ORGANIZATION 0002,EXAMPLE ORGANIZATION 0002,SYNTHETIC SO_DOC_CD 0002,SYNTHETIC SO_DOC_DEPT_CD 0002,SYNTHETIC-0002,2000-01-02T00:00:00.000,SYNTHETIC ROW_KEY 0002
SYNTHETIC DOC_CD 0003,SYNTHETIC DOC_DEPT_CD 0003,SYNTHETIC-0003,SYNTHETIC DOC_VERS_NO 0003,SYNTHETIC DOC_DSCR 0003,,3.00,3.00,3.00,2000-01-03T00:00:00.000,,SYNTHETIC GNRC_PO_RPT_1 0003,SYNTHETIC RPT_DSCR 0003,2000-01-03T00:00:00.000,SYNTHETIC BRD_AWD_NO 0003,SYNTHETIC CAT_DSCR 0003,SYNTHETIC DOC_VEND_LN_NO 0003,EXAMPLE ORGANIZATION 0003,EXAMPLE ORGANIZATION 0003,EXAMPLE ORGANIZATION 0003,SYNTHETIC SO_DOC_CD 0003,SYNTHETIC SO_DOC_DEPT_CD 0003,SYNTHETIC-0003,2000-01-03T00:00:00.000,SYNTHETIC ROW_KEY 0003
SYNTHETIC DOC_CD 0004,SYNTHETIC DOC_DEPT_CD 0004,SYNTHETIC-0004,SYNTHETIC DOC_VERS_NO 0004,SYNTHETIC DOC_DSCR 0004,,4.00,4.00,4.00,2000-01-04T00:00:00.000,2000-01-04T00:00:00.000,SYNTHETIC GNRC_PO_RPT_1 0004,SYNTHETIC RPT_DSCR 0004,2000-01-04T00:00:00.000,SYNTHETIC BRD_AWD_NO 0004,SYNTHETIC CAT_DSCR 0004,SYNTHETIC DOC_VEND_LN_NO 0004,EXAMPLE ORGANIZATION 0004,EXAMPLE ORGANIZATION 0004,EXAMPLE ORGANIZATION 0004,SYNTHETIC SO_DOC_CD 0004,SYNTHETIC SO_DOC_DEPT_CD 0004,SYNTHETIC-0004,2000-01-04T00:00:00.000,SYNTHETIC ROW_KEY 0004
SYNTHETIC DOC_CD 0005,SYNTHETIC DOC_DEPT_CD 0005,SYNTHETIC-0005,SYNTHETIC DOC_VERS_NO 0005,SYNTHETIC DOC_DSCR 0005,,5.00,5.00,5.00,2000-01-05T00:00:00.000,2000-01-05T00:00:00.000,SYNTHETIC GNRC_PO_RPT_1 0005,SYNTHETIC RPT_DSCR 0005,2000-01-05T00:00:00.000,SYNTHETIC BRD_AWD_NO 0005,SYNTHETIC CAT_DSCR 0005,SYNTHETIC DOC_VEND_LN_NO 0005,EXAMPLE ORGANIZATION 0005,EXAMPLE ORGANIZATION 0005,EXAMPLE ORGANIZATION 0005,SYNTHETIC SO_DOC_CD 0005,SYNTHETIC SO_DOC_DEPT_CD 0005,SYNTHETIC-0005,2000-01-05T00:00:00.000,SYNTHETIC ROW_KEY 0005
SYNTHETIC DOC_CD 0006,SYNTHETIC DOC_DEPT_CD 0006,SYNTHETIC-0006,SYNTHETIC DOC_VERS_NO 0006,SYNTHETIC DOC_DSCR 0006,,6.00,6.00,6.00,2000-01-06T00:00:00.000,2000-01-06T00:00:00.000,SYNTHETIC GNRC_PO_RPT_1 0006,SYNTHETIC RPT_DSCR 0006,2000-01-06T00:00:00.000,SYNTHETIC BRD_AWD_NO 0006,SYNTHETIC CAT_DSCR 0006,SYNTHETIC DOC_VEND_LN_NO 0006,EXAMPLE ORGANIZATION 0006,EXAMPLE ORGANIZATION 0006,EXAMPLE ORGANIZATION 0006,SYNTHETIC SO_DOC_CD 0006,SYNTHETIC SO_DOC_DEPT_CD 0006,SYNTHETIC-0006,2000-01-06T00:00:00.000,SYNTHETIC ROW_KEY 0006
SYNTHETIC DOC_CD 0007,SYNTHETIC DOC_DEPT_CD 0007,SYNTHETIC-0007,SYNTHETIC DOC_VERS_NO 0007,SYNTHETIC DOC_DSCR 0007,,7.00,7.00,7.00,2000-01-07T00:00:00.000,2000-01-07T00:00:00.000,SYNTHETIC GNRC_PO_RPT_1 0007,SYNTHETIC RPT_DSCR 0007,2000-01-07T00:00:00.000,SYNTHETIC BRD_AWD_NO 0007,SYNTHETIC CAT_DSCR 0007,SYNTHETIC DOC_VEND_LN_NO 0007,EXAMPLE ORGANIZATION 0007,EXAMPLE ORGANIZATION 0007,EXAMPLE ORGANIZATION 0007,SYNTHETIC SO_DOC_CD 0007,SYNTHETIC SO_DOC_DEPT_CD 0007,SYNTHETIC-0007,2000-01-07T00:00:00.000,SYNTHETIC ROW_KEY 0007
SYNTHETIC DOC_CD 0008,SYNTHETIC DOC_DEPT_CD 0008,SYNTHETIC-0008,SYNTHETIC DOC_VERS_NO 0008,SYNTHETIC DOC_DSCR 0008,,8.00,8.00,8.00,2000-01-08T00:00:00.000,2000-01-08T00:00:00.000,SYNTHETIC GNRC_PO_RPT_1 0008,SYNTHETIC RPT_DSCR 0008,2000-01-08T00:00:00.000,SYNTHETIC BRD_AWD_NO 0008,SYNTHETIC CAT_DSCR 0008,SYNTHETIC DOC_VEND_LN_NO 0008,EXAMPLE ORGANIZATION 0008,EXAMPLE ORGANIZATION 0008,EXAMPLE ORGANIZATION 0008,SYNTHETIC SO_DOC_CD 0008,SYNTHETIC SO_DOC_DEPT_CD 0008,SYNTHETIC-0008,2000-01-08T00:00:00.000,SYNTHETIC ROW_KEY 0008
SYNTHETIC DOC_CD 0009,SYNTHETIC DOC_DEPT_CD 0009,SYNTHETIC-0009,SYNTHETIC DOC_VERS_NO 0009,SYNTHETIC DOC_DSCR 0009,,9.00,9.00,9.00,2000-01-09T00:00:00.000,2000-01-09T00:00:00.000,SYNTHETIC GNRC_PO_RPT_1 0009,SYNTHETIC RPT_DSCR 0009,2000-01-09T00:00:00.000,SYNTHETIC BRD_AWD_NO 0009,SYNTHETIC CAT_DSCR 0009,SYNTHETIC DOC_VEND_LN_NO 0009,EXAMPLE ORGANIZATION 0009,EXAMPLE ORGANIZATION 0009,EXAMPLE ORGANIZATION 0009,SYNTHETIC SO_DOC_CD 0009,SYNTHETIC SO_DOC_DEPT_CD 0009,SYNTHETIC-0009,2000-01-09T00:00:00.000,SYNTHETIC ROW_KEY 0009
SYNTHETIC DOC_CD 0010,SYNTHETIC DOC_DEPT_CD 0010,SYNTHETIC-0010,SYNTHETIC DOC_VERS_NO 0010,SYNTHETIC DOC_DSCR 0010,,10.00,10.00,10.00,2000-01-10T00:00:00.000,2000-01-10T00:00:00.000,SYNTHETIC GNRC_PO_RPT_1 0010,SYNTHETIC RPT_DSCR 0010,2000-01-10T00:00:00.000,SYNTHETIC BRD_AWD_NO 0010,SYNTHETIC CAT_DSCR 0010,SYNTHETIC DOC_VEND_LN_NO 0010,EXAMPLE ORGANIZATION 0010,EXAMPLE ORGANIZATION 0010,EXAMPLE ORGANIZATION 0010,SYNTHETIC SO_DOC_CD 0010,SYNTHETIC SO_DOC_DEPT_CD 0010,SYNTHETIC-0010,2000-01-10T00:00:00.000,SYNTHETIC ROW_KEY 0010
