fy_dc,per_cd,dept_cd,dept_nm,fund_cd,fund_nm,div_cd,div_nm,gp_cd,gp_nm,ocat_cd,ocat_nm,obj_cd,obj_nm,lgl_nm,vend_cust_cd,vend_cust_ind,rfed_doc_cd,rfed_doc_dept_cd,rfed_doc_id,comm_cd,comm_dscr,chk_eft_iss_dt,cvl_chk_sta_dv,rfed_vend_ln_no,rfed_comm_ln_no,rfed_actg_ln_no,rf_doc_cd,rf_doc_dept_cd,rf_doc_id,actg_ln_dscr,amount,cal_year,cal_month
SYNTHETIC FY_DC 0001,SYNTHETIC PER_CD 0001,SYNTHETIC DEPT_CD 0001,SYNTHETIC DEPT_NM 0001,SYNTHETIC FUND_CD 0001,SYNTHETIC FUND_NM 0001,SYNTHETIC DIV_CD 0001,SYNTHETIC DIV_NM 0001,SYNTHETIC GP_CD 0001,SYNTHETIC GP_NM 0001,SYNTHETIC OCAT_CD 0001,SYNTHETIC OCAT_NM 0001,SYNTHETIC OBJ_CD 0001,SYNTHETIC OBJ_NM 0001,EXAMPLE ORGANIZATION 0001,EXAMPLE ORGANIZATION 0001,SYNTHETIC VEND_CUST_IND 0001,SYNTHETIC RFED_DOC_CD 0001,SYNTHETIC RFED_DOC_DEPT_CD 0001,SYNTHETIC-0001,SYNTHETIC COMM_CD 0001,SYNTHETIC COMM_DSCR 0001,2000-01-01T00:00:00.000,SYNTHETIC CVL_CHK_STA_DV 0001,SYNTHETIC RFED_VEND_LN_NO 0001,SYNTHETIC RFED_COMM_LN_NO 0001,SYNTHETIC RFED_ACTG_LN_NO 0001,SYNTHETIC RF_DOC_CD 0001,SYNTHETIC RF_DOC_DEPT_CD 0001,SYNTHETIC-0001,SYNTHETIC ACTG_LN_DSCR 0001,1.00,SYNTHETIC CAL_YEAR 0001,SYNTHETIC CAL_MONTH 0001
SYNTHETIC FY_DC 0002,SYNTHETIC PER_CD 0002,SYNTHETIC DEPT_CD 0002,SYNTHETIC DEPT_NM 0002,SYNTHETIC FUND_CD 0002,SYNTHETIC FUND_NM 0002,SYNTHETIC DIV_CD 0002,SYNTHETIC DIV_NM 0002,SYNTHETIC GP_CD 0002,SYNTHETIC GP_NM 0002,SYNTHETIC OCAT_CD 0002,SYNTHETIC OCAT_NM 0002,SYNTHETIC OBJ_CD 0002,SYNTHETIC OBJ_NM 0002,EXAMPLE ORGANIZATION 0002,EXAMPLE ORGANIZATION 0002,SYNTHETIC VEND_CUST_IND 0002,SYNTHETIC RFED_DOC_CD 0002,SYNTHETIC RFED_DOC_DEPT_CD 0002,SYNTHETIC-0002,SYNTHETIC COMM_CD 0002,SYNTHETIC COMM_DSCR 0002,2000-01-02T00:00:00.000,SYNTHETIC CVL_CHK_STA_DV 0002,SYNTHETIC RFED_VEND_LN_NO 0002,SYNTHETIC RFED_COMM_LN_NO 0002,SYNTHETIC RFED_ACTG_LN_NO 0002,SYNTHETIC RF_DOC_CD 0002,SYNTHETIC RF_DOC_DEPT_CD 0002,SYNTHETIC-0002,SYNTHETIC ACTG_LN_DSCR 0002,2.00,SYNTHETIC CAL_YEAR 0002,SYNTHETIC CAL_MONTH 0002
SYNTHETIC FY_DC 0003,SYNTHETIC PER_CD 0003,SYNTHETIC DEPT_CD 0003,SYNTHETIC DEPT_NM 0003,SYNTHETIC FUND_CD 0003,SYNTHETIC FUND_NM 0003,SYNTHETIC DIV_CD 0003,SYNTHETIC DIV_NM 0003,SYNTHETIC GP_CD 0003,SYNTHETIC GP_NM 0003,SYNTHETIC OCAT_CD 0003,SYNTHETIC OCAT_NM 0003,SYNTHETIC OBJ_CD 0003,SYNTHETIC OBJ_NM 0003,EXAMPLE ORGANIZATION 0003,EXAMPLE ORGANIZATION 0003,SYNTHETIC VEND_CUST_IND 0003,SYNTHETIC RFED_DOC_CD 0003,SYNTHETIC RFED_DOC_DEPT_CD 0003,SYNTHETIC-0003,,,2000-01-03T00:00:00.000,SYNTHETIC CVL_CHK_STA_DV 0003,SYNTHETIC RFED_VEND_LN_NO 0003,SYNTHETIC RFED_COMM_LN_NO 0003,SYNTHETIC RFED_ACTG_LN_NO 0003,,,,SYNTHETIC ACTG_LN_DSCR 0003,3.00,SYNTHETIC CAL_YEAR 0003,SYNTHETIC CAL_MONTH 0003
SYNTHETIC FY_DC 0004,SYNTHETIC PER_CD 0004,SYNTHETIC DEPT_CD 0004,SYNTHETIC DEPT_NM 0004,SYNTHETIC FUND_CD 0004,SYNTHETIC FUND_NM 0004,SYNTHETIC DIV_CD 0004,SYNTHETIC DIV_NM 0004,SYNTHETIC GP_CD 0004,SYNTHETIC GP_NM 0004,SYNTHETIC OCAT_CD 0004,SYNTHETIC OCAT_NM 0004,SYNTHETIC OBJ_CD 0004,SYNTHETIC OBJ_NM 0004,EXAMPLE ORGANIZATION 0004,EXAMPLE ORGANIZATION 0004,SYNTHETIC VEND_CUST_IND 0004,SYNTHETIC RFED_DOC_CD 0004,SYNTHETIC RFED_DOC_DEPT_CD 0004,SYNTHETIC-0004,,,2000-01-04T00:00:00.000,SYNTHETIC CVL_CHK_STA_DV 0004,SYNTHETIC RFED_VEND_LN_NO 0004,SYNTHETIC RFED_COMM_LN_NO 0004,SYNTHETIC RFED_ACTG_LN_NO 0004,,,,SYNTHETIC ACTG_LN_DSCR 0004,4.00,SYNTHETIC CAL_YEAR 0004,SYNTHETIC CAL_MONTH 0004
SYNTHETIC FY_DC 0005,SYNTHETIC PER_CD 0005,SYNTHETIC DEPT_CD 0005,SYNTHETIC DEPT_NM 0005,SYNTHETIC FUND_CD 0005,SYNTHETIC FUND_NM 0005,SYNTHETIC DIV_CD 0005,SYNTHETIC DIV_NM 0005,SYNTHETIC GP_CD 0005,SYNTHETIC GP_NM 0005,SYNTHETIC OCAT_CD 0005,SYNTHETIC OCAT_NM 0005,SYNTHETIC OBJ_CD 0005,SYNTHETIC OBJ_NM 0005,EXAMPLE ORGANIZATION 0005,EXAMPLE ORGANIZATION 0005,SYNTHETIC VEND_CUST_IND 0005,SYNTHETIC RFED_DOC_CD 0005,SYNTHETIC RFED_DOC_DEPT_CD 0005,SYNTHETIC-0005,,,2000-01-05T00:00:00.000,SYNTHETIC CVL_CHK_STA_DV 0005,SYNTHETIC RFED_VEND_LN_NO 0005,SYNTHETIC RFED_COMM_LN_NO 0005,SYNTHETIC RFED_ACTG_LN_NO 0005,,,,SYNTHETIC ACTG_LN_DSCR 0005,5.00,SYNTHETIC CAL_YEAR 0005,SYNTHETIC CAL_MONTH 0005
SYNTHETIC FY_DC 0006,SYNTHETIC PER_CD 0006,SYNTHETIC DEPT_CD 0006,SYNTHETIC DEPT_NM 0006,SYNTHETIC FUND_CD 0006,SYNTHETIC FUND_NM 0006,SYNTHETIC DIV_CD 0006,SYNTHETIC DIV_NM 0006,SYNTHETIC GP_CD 0006,SYNTHETIC GP_NM 0006,SYNTHETIC OCAT_CD 0006,SYNTHETIC OCAT_NM 0006,SYNTHETIC OBJ_CD 0006,SYNTHETIC OBJ_NM 0006,EXAMPLE ORGANIZATION 0006,EXAMPLE ORGANIZATION 0006,SYNTHETIC VEND_CUST_IND 0006,SYNTHETIC RFED_DOC_CD 0006,SYNTHETIC RFED_DOC_DEPT_CD 0006,SYNTHETIC-0006,,,2000-01-06T00:00:00.000,SYNTHETIC CVL_CHK_STA_DV 0006,SYNTHETIC RFED_VEND_LN_NO 0006,SYNTHETIC RFED_COMM_LN_NO 0006,SYNTHETIC RFED_ACTG_LN_NO 0006,,,,SYNTHETIC ACTG_LN_DSCR 0006,6.00,SYNTHETIC CAL_YEAR 0006,SYNTHETIC CAL_MONTH 0006
SYNTHETIC FY_DC 0007,SYNTHETIC PER_CD 0007,SYNTHETIC DEPT_CD 0007,SYNTHETIC DEPT_NM 0007,SYNTHETIC FUND_CD 0007,SYNTHETIC FUND_NM 0007,SYNTHETIC DIV_CD 0007,SYNTHETIC DIV_NM 0007,SYNTHETIC GP_CD 0007,SYNTHETIC GP_NM 0007,SYNTHETIC OCAT_CD 0007,SYNTHETIC OCAT_NM 0007,SYNTHETIC OBJ_CD 0007,SYNTHETIC OBJ_NM 0007,EXAMPLE ORGANIZATION 0007,EXAMPLE ORGANIZATION 0007,SYNTHETIC VEND_CUST_IND 0007,SYNTHETIC RFED_DOC_CD 0007,SYNTHETIC RFED_DOC_DEPT_CD 0007,SYNTHETIC-0007,,,2000-01-07T00:00:00.000,SYNTHETIC CVL_CHK_STA_DV 0007,SYNTHETIC RFED_VEND_LN_NO 0007,SYNTHETIC RFED_COMM_LN_NO 0007,SYNTHETIC RFED_ACTG_LN_NO 0007,,,,SYNTHETIC ACTG_LN_DSCR 0007,7.00,SYNTHETIC CAL_YEAR 0007,SYNTHETIC CAL_MONTH 0007
SYNTHETIC FY_DC 0008,SYNTHETIC PER_CD 0008,SYNTHETIC DEPT_CD 0008,SYNTHETIC DEPT_NM 0008,SYNTHETIC FUND_CD 0008,SYNTHETIC FUND_NM 0008,SYNTHETIC DIV_CD 0008,SYNTHETIC DIV_NM 0008,SYNTHETIC GP_CD 0008,SYNTHETIC GP_NM 0008,SYNTHETIC OCAT_CD 0008,SYNTHETIC OCAT_NM 0008,SYNTHETIC OBJ_CD 0008,SYNTHETIC OBJ_NM 0008,EXAMPLE ORGANIZATION 0008,EXAMPLE ORGANIZATION 0008,SYNTHETIC VEND_CUST_IND 0008,SYNTHETIC RFED_DOC_CD 0008,SYNTHETIC RFED_DOC_DEPT_CD 0008,SYNTHETIC-0008,SYNTHETIC COMM_CD 0008,SYNTHETIC COMM_DSCR 0008,2000-01-08T00:00:00.000,SYNTHETIC CVL_CHK_STA_DV 0008,SYNTHETIC RFED_VEND_LN_NO 0008,SYNTHETIC RFED_COMM_LN_NO 0008,SYNTHETIC RFED_ACTG_LN_NO 0008,SYNTHETIC RF_DOC_CD 0008,SYNTHETIC RF_DOC_DEPT_CD 0008,SYNTHETIC-0008,SYNTHETIC ACTG_LN_DSCR 0008,8.00,SYNTHETIC CAL_YEAR 0008,SYNTHETIC CAL_MONTH 0008
SYNTHETIC FY_DC 0009,SYNTHETIC PER_CD 0009,SYNTHETIC DEPT_CD 0009,SYNTHETIC DEPT_NM 0009,SYNTHETIC FUND_CD 0009,SYNTHETIC FUND_NM 0009,SYNTHETIC DIV_CD 0009,SYNTHETIC DIV_NM 0009,SYNTHETIC GP_CD 0009,SYNTHETIC GP_NM 0009,SYNTHETIC OCAT_CD 0009,SYNTHETIC OCAT_NM 0009,SYNTHETIC OBJ_CD 0009,SYNTHETIC OBJ_NM 0009,EXAMPLE ORGANIZATION 0009,EXAMPLE ORGANIZATION 0009,SYNTHETIC VEND_CUST_IND 0009,SYNTHETIC RFED_DOC_CD 0009,SYNTHETIC RFED_DOC_DEPT_CD 0009,SYNTHETIC-0009,SYNTHETIC COMM_CD 0009,SYNTHETIC COMM_DSCR 0009,2000-01-09T00:00:00.000,SYNTHETIC CVL_CHK_STA_DV 0009,SYNTHETIC RFED_VEND_LN_NO 0009,SYNTHETIC RFED_COMM_LN_NO 0009,SYNTHETIC RFED_ACTG_LN_NO 0009,SYNTHETIC RF_DOC_CD 0009,SYNTHETIC RF_DOC_DEPT_CD 0009,SYNTHETIC-0009,SYNTHETIC ACTG_LN_DSCR 0009,9.00,SYNTHETIC CAL_YEAR 0009,SYNTHETIC CAL_MONTH 0009
SYNTHETIC FY_DC 0010,SYNTHETIC PER_CD 0010,SYNTHETIC DEPT_CD 0010,SYNTHETIC DEPT_NM 0010,SYNTHETIC FUND_CD 0010,SYNTHETIC FUND_NM 0010,SYNTHETIC DIV_CD 0010,SYNTHETIC DIV_NM 0010,SYNTHETIC GP_CD 0010,SYNTHETIC GP_NM 0010,SYNTHETIC OCAT_CD 0010,SYNTHETIC OCAT_NM 0010,SYNTHETIC OBJ_CD 0010,SYNTHETIC OBJ_NM 0010,EXAMPLE ORGANIZATION 0010,EXAMPLE ORGANIZATION 0010,SYNTHETIC VEND_CUST_IND 0010,SYNTHETIC RFED_DOC_CD 0010,SYNTHETIC RFED_DOC_DEPT_CD 0010,SYNTHETIC-0010,,,2000-01-10T00:00:00.000,SYNTHETIC CVL_CHK_STA_DV 0010,SYNTHETIC RFED_VEND_LN_NO 0010,SYNTHETIC RFED_COMM_LN_NO 0010,SYNTHETIC RFED_ACTG_LN_NO 0010,,,,SYNTHETIC ACTG_LN_DSCR 0010,10.00,SYNTHETIC CAL_YEAR 0010,SYNTHETIC CAL_MONTH 0010
