commodity,commodity_description,extended_description,quantity,unit_of_measure,unit_of_meas_desc,unit_price,itm_tot_am,master_agreement,contract_name,purchase_order,award_date,vendor_code,lgl_nm,data_build_date
SYNTHETIC COMMODITY 0001,SYNTHETIC COMMODITY_DESCRIPTION 0001,SYNTHETIC EXTENDED_DESCRIPTION 0001,1.00,SYNTHETIC UNIT_OF_MEASURE 0001,SYNTHETIC UNIT_OF_MEAS_DESC 0001,1.00,1.00,SYNTHETIC MASTER_AGREEMENT 0001,SYNTHETIC CONTRACT_NAME 0001,SYNTHETIC PURCHASE_ORDER 0001,2000-01-01T00:00:00.000,SYNTHETIC-0001,EXAMPLE ORGANIZATION 0001,2000-01-01T00:00:00.000
SYNTHETIC COMMODITY 0002,SYNTHETIC COMMODITY_DESCRIPTION 0002,,2.00,SYNTHETIC UNIT_OF_MEASURE 0002,SYNTHETIC UNIT_OF_MEAS_DESC 0002,2.00,2.00,SYNTHETIC MASTER_AGREEMENT 0002,SYNTHETIC CONTRACT_NAME 0002,SYNTHETIC PURCHASE_ORDER 0002,2000-01-02T00:00:00.000,SYNTHETIC-0002,EXAMPLE ORGANIZATION 0002,2000-01-02T00:00:00.000
SYNTHETIC COMMODITY 0003,SYNTHETIC COMMODITY_DESCRIPTION 0003,,3.00,,,3.00,3.00,SYNTHETIC MASTER_AGREEMENT 0003,SYNTHETIC CONTRACT_NAME 0003,SYNTHETIC PURCHASE_ORDER 0003,2000-01-03T00:00:00.000,SYNTHETIC-0003,EXAMPLE ORGANIZATION 0003,2000-01-03T00:00:00.000
SYNTHETIC COMMODITY 0004,SYNTHETIC COMMODITY_DESCRIPTION 0004,,4.00,,,4.00,4.00,SYNTHETIC MASTER_AGREEMENT 0004,SYNTHETIC CONTRACT_NAME 0004,SYNTHETIC PURCHASE_ORDER 0004,2000-01-04T00:00:00.000,SYNTHETIC-0004,EXAMPLE ORGANIZATION 0004,2000-01-04T00:00:00.000
SYNTHETIC COMMODITY 0005,SYNTHETIC COMMODITY_DESCRIPTION 0005,,5.00,SYNTHETIC UNIT_OF_MEASURE 0005,SYNTHETIC UNIT_OF_MEAS_DESC 0005,5.00,5.00,,SYNTHETIC CONTRACT_NAME 0005,SYNTHETIC PURCHASE_ORDER 0005,2000-01-05T00:00:00.000,SYNTHETIC-0005,EXAMPLE ORGANIZATION 0005,2000-01-05T00:00:00.000
SYNTHETIC COMMODITY 0006,SYNTHETIC COMMODITY_DESCRIPTION 0006,SYNTHETIC EXTENDED_DESCRIPTION 0006,6.00,,,6.00,6.00,SYNTHETIC MASTER_AGREEMENT 0006,SYNTHETIC CONTRACT_NAME 0006,SYNTHETIC PURCHASE_ORDER 0006,2000-01-06T00:00:00.000,SYNTHETIC-0006,EXAMPLE ORGANIZATION 0006,2000-01-06T00:00:00.000
SYNTHETIC COMMODITY 0007,SYNTHETIC COMMODITY_DESCRIPTION 0007,SYNTHETIC EXTENDED_DESCRIPTION 0007,7.00,SYNTHETIC UNIT_OF_MEASURE 0007,SYNTHETIC UNIT_OF_MEAS_DESC 0007,7.00,7.00,SYNTHETIC MASTER_AGREEMENT 0007,SYNTHETIC CONTRACT_NAME 0007,SYNTHETIC PURCHASE_ORDER 0007,2000-01-07T00:00:00.000,SYNTHETIC-0007,EXAMPLE ORGANIZATION 0007,2000-01-07T00:00:00.000
SYNTHETIC COMMODITY 0008,SYNTHETIC COMMODITY_DESCRIPTION 0008,SYNTHETIC EXTENDED_DESCRIPTION 0008,8.00,SYNTHETIC UNIT_OF_MEASURE 0008,SYNTHETIC UNIT_OF_MEAS_DESC 0008,8.00,8.00,SYNTHETIC MASTER_AGREEMENT 0008,SYNTHETIC CONTRACT_NAME 0008,SYNTHETIC PURCHASE_ORDER 0008,2000-01-08T00:00:00.000,SYNTHETIC-0008,EXAMPLE ORGANIZATION 0008,2000-01-08T00:00:00.000
SYNTHETIC COMMODITY 0009,SYNTHETIC COMMODITY_DESCRIPTION 0009,,9.00,SYNTHETIC UNIT_OF_MEASURE 0009,SYNTHETIC UNIT_OF_MEAS_DESC 0009,9.00,9.00,SYNTHETIC MASTER_AGREEMENT 0009,SYNTHETIC CONTRACT_NAME 0009,SYNTHETIC PURCHASE_ORDER 0009,2000-01-09T00:00:00.000,SYNTHETIC-0009,EXAMPLE ORGANIZATION 0009,2000-01-09T00:00:00.000
SYNTHETIC COMMODITY 0010,SYNTHETIC COMMODITY_DESCRIPTION 0010,SYNTHETIC EXTENDED_DESCRIPTION 0010,10.00,SYNTHETIC UNIT_OF_MEASURE 0010,SYNTHETIC UNIT_OF_MEAS_DESC 0010,10.00,10.00,SYNTHETIC MASTER_AGREEMENT 0010,SYNTHETIC CONTRACT_NAME 0010,SYNTHETIC PURCHASE_ORDER 0010,2000-01-10T00:00:00.000,SYNTHETIC-0010,EXAMPLE ORGANIZATION 0010,2000-01-10T00:00:00.000
SYNTHETIC COMMODITY 0011,SYNTHETIC COMMODITY_DESCRIPTION 0011,,11.00,SYNTHETIC UNIT_OF_MEASURE 0011,SYNTHETIC UNIT_OF_MEAS_DESC 0011,11.00,11.00,SYNTHETIC MASTER_AGREEMENT 0011,SYNTHETIC CONTRACT_NAME 0011,SYNTHETIC PURCHASE_ORDER 0011,2000-01-11T00:00:00.000,SYNTHETIC-0011,EXAMPLE ORGANIZATION 0011,2000-01-11T00:00:00.000
SYNTHETIC COMMODITY 0012,SYNTHETIC COMMODITY_DESCRIPTION 0012,SYNTHETIC EXTENDED_DESCRIPTION 0012,12.00,SYNTHETIC UNIT_OF_MEASURE 0012,SYNTHETIC UNIT_OF_MEAS_DESC 0012,12.00,12.00,,SYNTHETIC CONTRACT_NAME 0012,SYNTHETIC PURCHASE_ORDER 0012,2000-01-12T00:00:00.000,SYNTHETIC-0012,EXAMPLE ORGANIZATION 0012,2000-01-12T00:00:00.000
SYNTHETIC COMMODITY 0013,SYNTHETIC COMMODITY_DESCRIPTION 0013,SYNTHETIC EXTENDED_DESCRIPTION 0013,13.00,SYNTHETIC UNIT_OF_MEASURE 0013,SYNTHETIC UNIT_OF_MEAS_DESC 0013,13.00,13.00,SYNTHETIC MASTER_AGREEMENT 0013,SYNTHETIC CONTRACT_NAME 0013,SYNTHETIC PURCHASE_ORDER 0013,2000-01-13T00:00:00.000,SYNTHETIC-0013,EXAMPLE ORGANIZATION 0013,2000-01-13T00:00:00.000
SYNTHETIC COMMODITY 0014,SYNTHETIC COMMODITY_DESCRIPTION 0014,SYNTHETIC EXTENDED_DESCRIPTION 0014,14.00,,,14.00,14.00,SYNTHETIC MASTER_AGREEMENT 0014,SYNTHETIC CONTRACT_NAME 0014,SYNTHETIC PURCHASE_ORDER 0014,2000-01-14T00:00:00.000,SYNTHETIC-0014,EXAMPLE ORGANIZATION 0014,2000-01-14T00:00:00.000
SYNTHETIC COMMODITY 0015,SYNTHETIC COMMODITY_DESCRIPTION 0015,SYNTHETIC EXTENDED_DESCRIPTION 0015,15.00,SYNTHETIC UNIT_OF_MEASURE 0015,SYNTHETIC UNIT_OF_MEAS_DESC 0015,15.00,15.00,,SYNTHETIC CONTRACT_NAME 0015,SYNTHETIC PURCHASE_ORDER 0015,2000-01-15T00:00:00.000,SYNTHETIC-0015,EXAMPLE ORGANIZATION 0015,2000-01-15T00:00:00.000
SYNTHETIC COMMODITY 0016,SYNTHETIC COMMODITY_DESCRIPTION 0016,SYNTHETIC EXTENDED_DESCRIPTION 0016,16.00,SYNTHETIC UNIT_OF_MEASURE 0016,SYNTHETIC UNIT_OF_MEAS_DESC 0016,16.00,16.00,,SYNTHETIC CONTRACT_NAME 0016,SYNTHETIC PURCHASE_ORDER 0016,2000-01-16T00:00:00.000,SYNTHETIC-0016,EXAMPLE ORGANIZATION 0016,2000-01-16T00:00:00.000
SYNTHETIC COMMODITY 0017,SYNTHETIC COMMODITY_DESCRIPTION 0017,SYNTHETIC EXTENDED_DESCRIPTION 0017,17.00,SYNTHETIC UNIT_OF_MEASURE 0017,SYNTHETIC UNIT_OF_MEAS_DESC 0017,17.00,17.00,SYNTHETIC MASTER_AGREEMENT 0017,SYNTHETIC CONTRACT_NAME 0017,SYNTHETIC PURCHASE_ORDER 0017,2000-01-17T00:00:00.000,SYNTHETIC-0017,EXAMPLE ORGANIZATION 0017,2000-01-17T00:00:00.000
SYNTHETIC COMMODITY 0018,SYNTHETIC COMMODITY_DESCRIPTION 0018,SYNTHETIC EXTENDED_DESCRIPTION 0018,18.00,,,18.00,18.00,,SYNTHETIC CONTRACT_NAME 0018,SYNTHETIC PURCHASE_ORDER 0018,2000-01-18T00:00:00.000,SYNTHETIC-0018,EXAMPLE ORGANIZATION 0018,2000-01-18T00:00:00.000
SYNTHETIC COMMODITY 0019,SYNTHETIC COMMODITY_DESCRIPTION 0019,SYNTHETIC EXTENDED_DESCRIPTION 0019,19.00,,,19.00,19.00,SYNTHETIC MASTER_AGREEMENT 0019,SYNTHETIC CONTRACT_NAME 0019,SYNTHETIC PURCHASE_ORDER 0019,2000-01-19T00:00:00.000,SYNTHETIC-0019,EXAMPLE ORGANIZATION 0019,2000-01-19T00:00:00.000
